PassengerId,Pclass,Survived,AgeStandard,FareStandard,fare_per_fam_member_Standard,SibSp,Parch,family_size,paid_fare,male,C,Missing_Embark,Q,S,A_deck,B_deck,C_deck,D_deck,E_deck,F_deck,G_deck,Missing_Deck,T_deck,DuplicatedName,DuplicatedTicket,DuplicatedCabin,Miss,Mr,Mrs,Rare
1,3,0,-0.6744897501960817,-1.382994127100638,-1.7814903774936883,0.3010299956639812,0.0,0.6931471805599453,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
2,1,1,0.8122178014999129,1.1783889616137806,1.1166662694968041,0.3010299956639812,0.0,0.6931471805599453,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0
3,3,1,0.0,-0.649863538956174,-0.19024939642598612,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
4,1,1,0.5485222826980978,0.9674215661017008,0.8122178014999129,0.3010299956639812,0.0,0.6931471805599453,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0
5,3,0,0.5485222826980978,-0.5485222826980981,-0.1046334556140754,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
6,3,0,-0.2641469768259236,-0.46925922933602554,-0.021907796731525757,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
7,1,0,1.5932188180230542,0.9522460290518805,1.4407560074061143,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0
8,3,0,-2.149768904909605,0.22538687441273753,-1.6376178641108696,0.6020599913279624,0.3010299956639812,1.6094379124341003,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
9,3,1,0.10463345561407526,-0.2645454005017803,-1.7707049829944075,0.0,0.47712125471966244,1.0986122886681098,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0
10,2,1,-1.410699178450397,0.6307038186119053,0.5580770639968113,0.3010299956639812,0.0,0.6931471805599453,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0
11,3,1,-1.8378802347660605,0.12354507242772668,-1.2118992110856182,0.3010299956639812,0.3010299956639812,1.0986122886681098,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0
12,1,1,1.7720341481691486,0.4676543823538879,0.8122178014999129,0.0,0.0,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
13,3,0,-0.887146559018876,-0.5485222826980981,-0.1046334556140754,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
14,3,0,0.8616341201741718,0.6744897501960817,-1.5249118469058642,0.3010299956639812,0.7781512503836436,1.9459101490553132,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0
15,3,0,-1.410699178450397,-0.8122178014999131,-0.34511702077433287,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
16,2,1,1.6584720610356294,0.10796788914956672,0.569575859857116,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
17,3,0,-2.149768904909605,0.59714609685134,-1.382994127100638,0.6989700043360189,0.3010299956639812,1.791759469228055,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
18,2,1,0.31863936396437514,-0.1046334556140754,0.43072729929545744,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
19,3,0,0.37409541019772335,0.15255679912047865,0.05327160142791213,0.3010299956639812,0.0,0.6931471805599453,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0
20,3,1,-0.2641469768259236,-1.731664396122245,-0.8132715498195354,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
21,2,0,0.5485222826980978,0.43072729929545744,0.7738417323372526,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
22,2,1,0.5084880591093566,-0.1046334556140754,0.43072729929545744,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
23,3,1,-1.3829941271006372,-0.56497242447092,-0.11881004049218552,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
24,1,1,0.1573106846101707,0.7426267184790132,1.1128177813131304,0.0,0.0,0.0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,3,0,-1.6057296060590078,0.22538687441273753,-1.6376178641108696,0.6020599913279624,0.3010299956639812,1.6094379124341003,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
26,3,1,0.8122178014999129,0.6762626942651104,-1.5183760578585548,0.3010299956639812,0.7781512503836436,1.9459101490553132,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0
27,3,0,-0.2641469768259236,-1.731664396122245,-0.8132715498195354,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
28,1,0,-0.967421566101701,1.9163123875534662,1.3314522847932189,0.6020599913279624,0.47712125471966244,1.791759469228055,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0
29,3,1,-0.2641469768259236,-0.7277824083108418,-0.31863936396437514,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
30,3,0,-0.2641469768259236,-0.6744897501960817,-0.21042839424792484,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
31,1,0,0.9132499266836088,0.5485222826980978,0.8674543354668658,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
32,1,1,0.8122178014999129,1.7439276659826752,1.6845353694337228,0.3010299956639812,0.0,0.6931471805599453,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0
33,3,1,-0.2641469768259236,-1.1503493803760079,-0.5485222826980981,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
34,2,0,1.9719868201056865,-0.2948912713722954,0.21042839424792456,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
35,1,0,0.1573106846101707,1.3809474939116078,1.2551900408852108,0.3010299956639812,0.0,0.6931471805599453,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0
36,1,0,1.009990169249582,0.9539213473963434,0.7738417323372526,0.3010299956639812,0.0,0.6931471805599453,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0
37,3,1,-0.2641469768259236,-1.6579213940603703,-0.8108668369263909,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
38,3,0,-0.8122178014999131,-0.5485222826980981,-0.1046334556140754,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
39,3,0,-1.1503493803760079,0.15255679912047865,-1.1248351069468987,0.47712125471966244,0.0,1.0986122886681098,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
40,3,1,-1.410699178450397,-0.2593762904238669,-1.2002843501404703,0.3010299956639812,0.0,0.6931471805599453,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
41,3,0,0.9132499266836088,-0.3625012223192731,-1.422876015866478,0.3010299956639812,0.0,0.6931471805599453,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
42,2,0,0.10463345561407526,0.22313996679010467,0.21042839424792456,0.3010299956639812,0.0,0.6931471805599453,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0
43,3,0,-0.2641469768259236,-0.6744897501960817,-0.21042839424792484,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
44,2,1,-1.970101168076067,0.8337011982977196,0.2000704078862382,0.3010299956639812,0.47712125471966244,1.3862943611198906,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
